id,title,date,thumbnail,views,likes,dislikes,comments
xYF6W6KMyXA,Inside an Apollo Lunar Lander Tiny House | Unique Spaces | Architectural Digest,2020-04-07T16:02:11.000Z,https://i.ytimg.com/vi/xYF6W6KMyXA/default.jpg,57733,2425,56,138
hGkVxIyKnEA,"Inside a $40.5M Estate With a ""Batcave"" Garage | On The Market | Architectural Digest",2020-03-27T16:00:02.000Z,https://i.ytimg.com/vi/hGkVxIyKnEA/default.jpg,4823602,85741,3501,8498
KXT2O92Ywfg,Inside a Musician's House With a Huge Built-In Amp | Unique Spaces | Architectural Digest,2020-03-25T16:00:03.000Z,https://i.ytimg.com/vi/KXT2O92Ywfg/default.jpg,192712,4328,121,286
rHyIOIstYRA,Inside Dita Von Teese's Taxidermy-Filled Home | Open Door | Architectural Digest,2020-03-23T16:00:02.000Z,https://i.ytimg.com/vi/rHyIOIstYRA/default.jpg,1432065,52472,2045,3905
pJesOpxgA3s,Inside a $54M Mansion With a Private Indoor Ice Rink | On The Market | Architectural Digest,2020-03-20T16:00:01.000Z,https://i.ytimg.com/vi/pJesOpxgA3s/default.jpg,596922,9835,560,952
AwhBTrzzqeg,Inside Dakota Johnson's Serene Hollywood Home | Open Door | Architectural Digest,2020-03-11T16:00:01.000Z,https://i.ytimg.com/vi/AwhBTrzzqeg/default.jpg,7391793,203770,3539,7445
yeYCw3KCzSk,Inside a $55M Mansion With a Helicopter Hangar | On The Market | Architectural Digest,2020-02-28T17:00:06.000Z,https://i.ytimg.com/vi/yeYCw3KCzSk/default.jpg,622005,9651,417,1107
oBWFOnN3uBM,Inside a $50M Bel Air Mansion With a Vintage Bowling Alley | On The Market | Architectural Digest,2020-02-26T17:00:03.000Z,https://i.ytimg.com/vi/oBWFOnN3uBM/default.jpg,476660,10406,464,1003
vDD1lhHkGxk,Inside Jesse Tyler Ferguson's Elegant NYC Apartment | Open Door | Architectural Digest,2020-02-18T17:00:01.000Z,https://i.ytimg.com/vi/vDD1lhHkGxk/default.jpg,766966,12819,490,790
xmYsP_N8BIo,Inside A Grain Silo Transformed Into An Urban Oasis | Unique Spaces | Architectural Digest,2020-02-14T17:00:02.000Z,https://i.ytimg.com/vi/xmYsP_N8BIo/default.jpg,315285,7900,108,231
D-qQneOnJl0,Inside Aaron Paul’s Rustic Riverside Home In Idaho | Open Door | Architectural Digest,2020-02-11T20:00:05.000Z,https://i.ytimg.com/vi/D-qQneOnJl0/default.jpg,7818165,139329,2218,12211
LJaicOI7mwg,"Kim and Kanye Quiz Each Other On Home Design, Family, and Life | Architectural Digest",2020-02-03T13:00:01.000Z,https://i.ytimg.com/vi/LJaicOI7mwg/default.jpg,6846819,198545,5958,10710
0deGHRj8CR8,Inside a $6M Mansion With A Mountain In The Backyard | On The Market | Architectural Digest,2020-01-31T17:10:00.000Z,https://i.ytimg.com/vi/0deGHRj8CR8/default.jpg,458199,7661,318,841
uONJXXw1kyo,Inside a $23M Hollywood Mansion with a Built-In Shark Tank | On the Market | Architectural Digest,2020-01-28T17:00:08.000Z,https://i.ytimg.com/vi/uONJXXw1kyo/default.jpg,528030,8628,776,805
ieM3GuymwUE,Inside Shay Mitchell's Mediterranean-Inspired Home | Open Door | Architectural Digest,2020-01-27T17:00:01.000Z,https://i.ytimg.com/vi/ieM3GuymwUE/default.jpg,5518119,120210,1427,3859
2oyNCm_OoSM,Queer Eye's Bobby Berk Reviews Every Renovation From The Show | Architectural Digest,2020-01-23T17:00:08.000Z,https://i.ytimg.com/vi/2oyNCm_OoSM/default.jpg,188610,3986,105,143
sQTGkLW6fwg,On Riverdale's Set With Madelaine Petsch | Open Door | Architectural Digest,2020-01-22T17:00:06.000Z,https://i.ytimg.com/vi/sQTGkLW6fwg/default.jpg,1731325,58804,513,862
YQC7OtyHhxU,Inside Tan France’s Handsomely Designed Home | Open Door | Architectural Digest,2019-12-30T17:00:02.000Z,https://i.ytimg.com/vi/YQC7OtyHhxU/default.jpg,2259048,49693,1189,2157
jMPF1amMB2M,Inside a $38M Beverly Hills Mansion With a 150M Year-Old Dinosaur Fossil | On The Market,2019-12-26T17:00:03.000Z,https://i.ytimg.com/vi/jMPF1amMB2M/default.jpg,6342383,94558,2997,11946
hJaXjItxL6w,Inside Nyjah Huston's Laguna Beach Mansion and Private Skatepark | Open Door | Architectural Digest,2019-12-23T17:00:12.000Z,https://i.ytimg.com/vi/hJaXjItxL6w/default.jpg,3730867,55713,1493,2544
-V3DHyTG9uU,Inside a $30M Park Avenue Penthouse With A Rooftop Pool | On The Market | Architectural Digest,2019-12-18T17:00:07.000Z,https://i.ytimg.com/vi/-V3DHyTG9uU/default.jpg,694669,9479,514,833
yKn3Ur6_w3c,Inside Chelsea Handler's Lively Home With An Outdoor Pizza Oven | Open Door,2019-12-16T17:00:10.000Z,https://i.ytimg.com/vi/yKn3Ur6_w3c/default.jpg,2079792,31056,1482,2535
BDA6rPA0Fcs,Inside Neil Patrick Harris's Captivating Brownstone Home | Open Door,2019-12-11T17:00:05.000Z,https://i.ytimg.com/vi/BDA6rPA0Fcs/default.jpg,1902150,28350,1174,1566
COddpjZ0W-s,Inside a $9.5M Hudson River Home With A Lofted Playhouse | On The Market,2019-12-10T17:00:03.000Z,https://i.ytimg.com/vi/COddpjZ0W-s/default.jpg,353664,4403,938,785
28gPDPby3Po,Inside a Sand Dune Converted Into an Oceanfront Home | Unique Spaces | Architectural Digest,2019-11-27T17:00:05.000Z,https://i.ytimg.com/vi/28gPDPby3Po/default.jpg,379225,6452,197,364
3aZT951ATYQ,Inside a $25M TriBeCa Penthouse With 360° Views | On The Market | Architectural Digest,2019-11-26T17:25:06.000Z,https://i.ytimg.com/vi/3aZT951ATYQ/default.jpg,678970,11562,306,993
jwfI8BlFwMw,Inside 'Try Guys' Ned Fulmer's Custom California Home | Open Door | Architectural Digest,2019-11-22T17:01:11.000Z,https://i.ytimg.com/vi/jwfI8BlFwMw/default.jpg,2821143,83356,1224,3373
iG8Rc83iSy4,Inside a $35M Hollywood Mansion With a 2 Level Glass-Bottomed Pool | On The Market,2019-11-21T17:36:59.000Z,https://i.ytimg.com/vi/iG8Rc83iSy4/default.jpg,2780108,46267,1679,3313
Atfcn2yCVsA,Architects Cut Through Roof To Convert Carriage House Into Sunbathed Home,2019-11-20T17:00:13.000Z,https://i.ytimg.com/vi/Atfcn2yCVsA/default.jpg,329635,8582,134,202
O-b3eAo0Yv4,Designer Details The Conversion of a West Village Apartment With a Floating Mezzanine,2019-11-19T18:00:02.000Z,https://i.ytimg.com/vi/O-b3eAo0Yv4/default.jpg,363276,8843,196,297
dS3njIz_Qzs,Inside David Harbour’s Custom-Renovated New York Loft | Open Door | Architectural Digest,2019-11-14T17:00:13.000Z,https://i.ytimg.com/vi/dS3njIz_Qzs/default.jpg,3523966,86230,1374,4805
VKXGKZl66Fo,Inside a $18.5M Miami Beach Party House | On The Market,2019-11-13T17:00:07.000Z,https://i.ytimg.com/vi/VKXGKZl66Fo/default.jpg,587813,8822,354,544
zgacuXdzCmw,Inside Tyler Perry’s 300-Acre Studio Compound in Atlanta | Open Door | Architectural Digest,2019-11-07T17:00:05.000Z,https://i.ytimg.com/vi/zgacuXdzCmw/default.jpg,3934348,107065,1509,8002
k58GhBzPJz4,Inside a $5.5M Floating Mansion in Miami | On The Market | Architectural Digest,2019-11-04T17:00:09.000Z,https://i.ytimg.com/vi/k58GhBzPJz4/default.jpg,4363064,60649,1567,5333
VxvfhuxOE1I,Inside Sheryl Crow's Country Home With A Recording Studio in a Barn | Open Door,2019-10-28T16:05:42.000Z,https://i.ytimg.com/vi/VxvfhuxOE1I/default.jpg,961647,9887,530,1137
7pEeYUdlq6U,Inside a $11.95M 70-Acre Estate With Its Own Greek Amphitheater | On the Market,2019-10-24T16:00:01.000Z,https://i.ytimg.com/vi/7pEeYUdlq6U/default.jpg,877256,16203,423,964
gH1HEihmgL4,Amateurs & Experts Guess How Much an LA Mansion On Sunset Blvd Costs | Architectural Digest,2019-10-18T16:00:06.000Z,https://i.ytimg.com/vi/gH1HEihmgL4/default.jpg,137496,2225,104,174
uZDNGVmHxn4,Inside NBA Star JJ Redick's Brooklyn Warehouse Apartment | Open Door | Architectural Digest,2019-10-16T16:00:13.000Z,https://i.ytimg.com/vi/uZDNGVmHxn4/default.jpg,2665451,38935,1310,2588
FvNpU_9yiVg,Inside an $18.5M Las Vegas Estate with a 21 Foot Waterfall | On the Market | Architectural Digest,2019-10-14T16:00:02.000Z,https://i.ytimg.com/vi/FvNpU_9yiVg/default.jpg,607535,9817,391,832
FIDsKWis3jo,Inside Nicole Scherzinger's LA House with a Cozy Home Theater | Open Door | Architectural Digest,2019-10-11T19:05:27.000Z,https://i.ytimg.com/vi/FIDsKWis3jo/default.jpg,9726726,146631,3502,8640
u0N3dhH9yik,Inside a $9.75M NYC Townhouse with a Prohibition Era Tunnel | On the Market | Architectural Digest,2019-10-09T16:07:28.000Z,https://i.ytimg.com/vi/u0N3dhH9yik/default.jpg,317960,4444,518,765
nQEOK8I-Czc,Inside a $195 Million Bel Air Estate With Secret Tunnels | On the Market | Architectural Digest,2019-10-04T19:30:02.000Z,https://i.ytimg.com/vi/nQEOK8I-Czc/default.jpg,8040351,95768,3693,14429
